RPTID	YR	NAME	OPID	OADDR	OCITY	OCNTY	OST	OZIP	HADDR	HCITY	HCNTY	HST	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
970002	97	"BRG PETROLEUM, INC.                               "	30798	"7134 S. YALE, STE 600                   "	TULSA                    	TULSA                    	OK	74136	                                        	                         	                         	  	     	TX                                              	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B.J. REID                                                   	9184962626	19980506	        
970003	97	CHARTER SERVICING COMPANY                         	31043	"7134 S. YALE, SUITE 600                 "	TULSA                    	TULSA                    	OK	74136	                                        	                         	                         	  	     	TX                                              	0	33	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B.J. REID                                                   	9184962626	19980506	        
970004	97	RAINBOW PIPELINE CO                               	31009	ROUTE 2 BOX 251                         	CROCKETT                 	HOUSTON                  	TX	75835	12450 GREENSPOINT DR. SUITE 1260        	HOUSTON                  	HARRIS                   	TX	77060	TX                                              	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JOEL HAZLETT                                                	4093489069	19980506	        
970005	97	SMITH PRODUCTION INC (EX - RENRAG INC)            	17215	"14425 TORREY CHASE BLVD, SUITE 190      "	HOUSTON                  	HARRIS                   	TX	77014	                                        	                         	                         	  	     	TX                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DOLLY BROWNING                                              	2815830196	19980506	        
970006	97	PIONEER NATURAL GAS CO                            	15602	P.O.BOX 585                             	PAWNEE                   	BEE                      	TX	78145	P.O. BOX 3178                           	MIDLAND                  	                         	TX	79702	TX                                              	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOB PATTON                                                  	5124567201	19980506	        
970008	97	"MATRIX OIL & GAS, INC.                            "	30064	71683 RIVERSIDE DRIVE                   	COVINGTON                	ST. TAMMANY              	LA	70433	                                        	                         	                         	  	     	LA                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	5	0	0	0	5	0	2	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	STEPHEN J. WALTON                                           	5048931530	19980506	        
970009	97	"NEW MEXICO NATURAL GAS, INC.                      "	4604	3615 W. PIONEER PKWY #D                 	ARLINGTON                	TARRANT                  	TX	76013	                                        	                         	                         	  	     	TX                                              	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LARRY D. KELLY                                              	8175480444	19980506	        
970011	97	PINNACLE NATURAL GAS                              	857	"1601 NORTH TURNER, SUITE 525            "	HOBBS                    	LEA                      	NM	88240	5100 WESTHEIMER SUITE 320               	HOUSTON                  	                         	TX	77056	NM                                              	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MIKE TINDLE                                                 	5053930411	19980506	        
970012	97	SPORT PIPELINE CORP                               	18558	416 TRAVIS ST. SUITE 814                	SHREVEPORT               	CADDO                    	LA	71101	                                        	                         	                         	  	     	LA                                              	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JAMES S. KENDALL                                            	3182214959	19980506	        
970014	97	SACRAMENTO MUNICIPAL UTILITY DISTRICT             	30749	P.O. BOX 15830 M.S. B355                	SACRAMENTO               	                         	CA	95852	                                        	                         	                         	  	     	CA                                              	0	50	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	BARBARA OSTRANDER                                           	9167326988	19980506	        
