RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
19990155	1999	5P GAS PIPELINE COMPANY	899	ROUTE 5 BOX 2	JACKSONVILLE	CHEROKEE	TX	75766	"RT 5, BOX 2"	JACKSONVILLE	CHEROKEE	TX	75766	TX	0	7	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLIFF POWELL	9035864724	2/8/2000 8:37	
19990584	1999	ACACIA NATURAL GAS CORP	21	2002 TIMBERLOCH 6TH FL	THE WOODLANDS	MONTGOMERY	TX	77380	PO BOX 4000	THE WOODLANDS	                         	TX	77387	TX	0	224	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	77	147	0	0	224	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	0	0	0	0	0	0	4	79	147	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MICHAEL HOWETH	7133777297	3/14/2000 9:30	
19990595	1999	ACADIAN GAS PIPELINE SYSTEM	3	514 WAVERLY ROAD	THIBODAUX	LAFOURCHE	LA	70301	P.O. BOX 5698	THIBODAUX		LA	70302	LA	3	1039	0	0	0	0	0	1042	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	244	669	45	0	1042	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	245	669	45	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	R L BROWN	7132303460	3/14/2000 9:48	6/8/2000 11:17
19991142	1999	ACME BRICK COMPANY	31438	W BARTLETT ST	MALAKOFF	HENDERSON	TX	-7-5148	2821 W 7TH ST	FORT WORTH		TX	76101-    	 TX	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LEWIS VIEREGGE	9034891331	6/26/2000 11:00	8/3/2000 11:13
19990099	1999	AEDC (USA) INC.	856	"1990 POST OAK BLVD., #150"	HOUSTON	HARRIS	TX	77056						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	0	0	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JAMES A MCBEE	7139639101	1/28/2000 8:55	
19990865	1999	AERA ENERGY	31067	20101 GOLDEN SWEET ST	HUNTINGTON BEACH	ORANGE	CA	-9-2648	10000 MING AVE	BAKERSFIELD		CA	93311-    	CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	2	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DENNIS SPIRES	7149693229	3/21/2000 10:41	5/8/2000 14:42
19990867	1999	AERA ENERGY	31067	1800 SCHOOL CANYON RD	VENTURA	VENTURA	CA	-9-3001	10000 MING AVE	BAKERSFIELD		CA	93311-    	CA	0	34	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK POE	6616655149	3/21/2000 10:47	5/8/2000 14:44
19990864	1999	AERA ENERGY	31067	4024 VALLEY VIEW AVE	YORBA LINDA	ORANGE	CA	-9-2686	10000 MING AVE	BAKERSFIELD		CA	93311-    	CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK POE	6616655149	3/21/2000 10:37	5/9/2000 13:43
19990870	1999	AERA ENERGY	31067	19651 HIGHWAY 33	MCKITTRICK	KERN	CA	93251	10000 MING AVE	BAKERSFIELD		CA	93309	CA	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KEN GORDON	6616657524	3/21/2000 10:56	3/21/2000 10:56
19990868	1999	AERA ENERGY	31067	25401 HWY 33	FELLOWS	KERN	CA	93224	10000 MNIG AVE 	BAKERSFIELD		CA	93311-    	CA	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LARRY MARQUEZ	6616653152	3/21/2000 10:50	3/21/2000 10:52
19990873	1999	AERA ENERGY	31067	19760 G P ROAD	LOST HILLS		CA	93249	10000 MING AVE	BAKERSFIELD		CA	93309	CA	0	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DANNY MULLEN	6616657116	3/21/2000 11:03	
19990869	1999	AERA ENERGY	31067	29235 HWY 33	MARICOPA	KERN	CA	93252	10000 MING AVE	BAKERSFIELD	KERN	CA	93311-    	CA	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GARY WESTBROOK	8057694771	3/21/2000 10:53	3/21/2000 10:53
19990872	1999	AERA ENERGY	31067	50 NORTH SECOND STREET	RIO VISTA	SOLANO	CA	94571	10000 MING AVE	BAKERSFIELD		CA	93311-    	CA	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R B RUSSELL	7073742133	3/21/2000 11:01	
19991136	1999	AERA ENERGY	31067	50 NORTH SECOND STREET	RIO VISTA	SOLANO	CA	94571	10000 MING AVE	BAKERSFIELD		CA	93311	CA	0	0	1	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R B RUSSELL	7073742133	5/23/2000 12:06	
19990874	1999	AERA ENERGY	31067	50 NORTH SECOND STREET	RIO VISTA	SOLANO	CA	94571	10000 MING AVE	BAKERSFIELD		CA	93311	CA	0	36	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	R B RUSSELL	7073742133	3/21/2000 11:06	5/9/2000 13:49
19990871	1999	AERA ENERGY	31067	50 NORTH SECOND STREET	RIO VISTA	SOLANO	CA	94571	10000 MING AVE	BAKERSFIELD		CA	93311-    	CA	0	0	1	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R B RUSSELL	7073742133	3/21/2000 10:58	5/8/2000 14:48
19990048	1999	"AFG INDUSTRIES, INC"	31181	20400 NORTH WEBSTER	SPRING HILL	JOHNSON	KS	66083	1400 LINCOLN ST	KINGSPORT		TN	37660	KS	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RANDALL C RHODES	9135926100	2/3/2000 9:13	
19990137	1999	AGRIFOS FERTILIZER L.P.	31187	2001 JACKSON ROAD 	PASADENA	HARRIS	TX	77501	667 MADISON AVE 12TH FLR	NEW YORK		NY	10021	TX	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DARRELL P RAYMOND JR	7139205393	2/8/2000 7:22	
