RPTID	YR	NAME	OPID	OADDR	OCITY	OCNTY	OST	OZIP	HADDR	HCITY	HCNTY	HST	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
950501	95	CENTRAL ILLINOIS LIGHT CO                         	2200	300 LIBERTY STREET                      	PEORIA                   	PEORIA                   	IL	61602	                                        	                         	                         	  	     	IL                                              	0	230	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	17	24	130	24	35	230	0	0	0	0	0	0	0	0	10	9	2	0	0	21	0	0	0	0	0	0	0	0	27	33	132	24	35	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JOHN M. MYERS                                               	###############################################################################################################################################################################################################################################################	19960411	19961028
950502	95	SOUTHERN NATURAL GAS CO                           	18516	1900 5TH AVENUE NORTH                   	BIRMINGHAM               	JEFFERSON                	AL	35203	                                        	                         	                         	  	     	TX LA MS AL GA SC TN                            	73	6717	72	0	0	0	0	6862	0	460	0	0	0	0	0	460	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	177	1018	3471	1735	461	6862	0	16	84	304	56	0	460	0	2	1	1	0	0	4	0	0	0	0	0	0	0	0	195	1103	3776	1791	461	7326	19	0	0	0	0	2	0	0	19	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	KENNETH C. PETERS                                           	###############################################################################################################################################################################################################################################################	19960411	19960412
950503	95	CITIZENS GAS & COKE UTILITY                       	2392	2020 NORTH MERIDIAN STREET              	INDIANAPOLIS             	MARION                   	IN	46202	                                        	                         	                         	  	     	IN                                              	0	263	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	20	208	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	20	208	0	0	263	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	JOHN J. EDDINGTON                                           	###############################################################################################################################################################################################################################################################	19960411	        
950504	95	DOME DRILLING CO INC                              	26311	216 SOUTH MERIDIAN STREET               	WINCHESTER               	RANDOLPH                 	IN	47394	                                        	                         	                         	  	     	IN                                              	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MARK H. MAYFIELD                                            	###############################################################################################################################################################################################################################################################	19960411	        
950506	95	INDIANA GAS CO INC                                	8070	1630 NORTH MERIDIAN STREET              	INDIANAPOLIS             	MARION                   	IN	46202	                                        	                         	                         	  	     	IN KY                                           	0	583	7	0	0	1	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	203	314	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	203	314	0	0	591	5	0	0	0	0	0	0	0	7	0	0	0	26	0	0	0	11	0	0	0	0	0	0	0	RICHARD L. SLAGLE                                           	###############################################################################################################################################################################################################################################################	19960411	        
950507	95	LAWRENCEBURG GAS CO                               	11288	139 EAST FOURTH STREET                  	CINCINNATI               	HAMILTON                 	OH	45202	230 WEST HIGH ST                        	LAWRENCEBURG             	                         	IN	47025	IN                                              	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	WILLIAM H HOBLITZELL                                        	###############################################################################################################################################################################################################################################################	19960411	19960412
950508	95	NORTHERN INDIANA PUBLIC SERVICE CO                	13730	801 E 86TH AVENUE                       	MERRILLVILLE             	LAKE                     	IN	46410	5265 HOHMAN AVENUE                      	HAMMOND                  	LAKE                     	IN	46410	IN                                              	0	655	3	1	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37	320	116	181	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37	320	116	181	659	1	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DON J TOKOLY                                                	###############################################################################################################################################################################################################################################################	19960411	        
950509	95	OHIO VALLEY GAS CORP                              	14180	216 S. MERIDIAN STREET                  	WINCHESTER               	RANDOLPH                 	IN	47394	                                        	                         	                         	  	     	IN                                              	0	51	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	MARK H. MAYFIELD                                            	###############################################################################################################################################################################################################################################################	19960411	        
950510	95	"PRAXAIR, INC                                      "	20044	175 E. PARK DRIVE                       	TONAWANDA                	ERIE                     	NY	14151	OLD RIDGEBURY ROAD                      	DANBURY                  	                         	CT	6810	IN                                              	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	STEVEN P KOLASZ                                             	###############################################################################################################################################################################################################################################################	19960411	        
950512	95	NORTHEAST OHIO NATURAL GAS CORP                   	13635	P. O. BOX 430                           	LANCASTER                	FAIRFIELD                	OH	43130	                                        	                         	                         	  	     	OH                                              	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HOBY GRISET                                                 	###############################################################################################################################################################################################################################################################	19960411	        
