RPTID	YR	NAME	OPID	OSTREET	OCITY	OCOUNTY	OSTATE	OZIP	HSTREET	HCITY	HCOUNTY	HSTATE	HZIP	STOP	T1M1_1	T1M1_2	T1M1_3	T1M1_4	T1M1_5	T1M1_6	T1M1_7	T1M1T	T1M2_1	T1M2_2	T1M2_3	T1M2_4	T1M2_5	T1M2_6	T1M2_7	T1M2T	G1M1_1	G1M1_2	G1M1_3	G1M1_4	G1M1_5	G1M1_6	G1M1_7	G1M1T	G1M2_1	G1M2_2	G1M2_3	G1M2_4	G1M2_5	G1M2_6	G1M2_7	G1M2T	T2M1_1	T2M1_2	T2M1_3	T2M1_4	T2M1_5	T2M1_6	T2M1T	T2M2_1	T2M2_2	T2M2_3	T2M2_4	T2M2_5	T2M2_6	T2M2T	G2M1_1	G2M1_2	G2M1_3	G2M1_4	G2M1_5	G2M1_6	G2M1T	G2M2_1	G2M2_2	G2M2_3	G2M2_4	G2M2_5	G2M2_6	G2M2T	STOT_1	STOT_2	STOT_3	STOT_4	STOT_5	STOT_6	TOTT	CTC1	CTC2	CGC1	CGC2	CTOF1	CTOF2	CGOF1	CGOF2	CTCD1	CTCD2	CGCD1	CGCD2	CTO1	CTO2	CGO1	CGO2	KNLKT	KNLKG	DTON	DTOFF	DTOUT	DGON	DGOFF	DGOUT	PNAME	PHONE	DOE	DOC
19940076	1994	ACADIAN GAS PIPELINE SYSTEM	3	514 WAVERLY ROAD	THIBODAUX	LAFOURCHE	LA	70301	"1600 SMITH, SUITE 4775"	HOUSTON		TX	77002	LA	0	424	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	119	259	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	119	259	0	0	424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIM SCHWARZ	5044462791	04/21/1995 0:00	10/25/1995 0:00
19940624	1994	ACACIA NATURAL GAS CORP	21	P.O. BOX 4000 - 2002 TIMBERLOCH 6TH FL	THE WOODLANDS	MONTGOMERY	TX	77387						OK	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MICHAEL HOWETH	7133777287	05/03/1995 0:00	
19941408	1994	ACACIA NATURAL GAS CORP	21	PO BOX 4000 - 2002 TIMBERLOCH PLACE	THE WOODLANDS	MONTGOMERY	TX	77387						TX	91	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	91	0	0	0	91	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	91	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MICHAEL HOWETH	7133777287	02/16/1996 0:00	
19940928	1994	HADSON GAS CO (EX.ADOBE GAS CO)	56	921 WEST SANGER	HOBBS	LEA	NM	88240						TX	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED SOLMAN	5053932153	05/03/1995 0:00	
19940931	1994	HADSON GAS CO (EX.ADOBE GAS CO)	56	921 WEST SANGR	HOBBS	LEA	NM	88240						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	18	0	0	0	0	0	0	0	0	11	7	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED SOLMAN	5053932153	05/03/1995 0:00	
19940932	1994	HADSON GAS CO (EX.ADOBE GAS CO)	56	921 WEST SANGER	HOBBS	LEA	NM	88240						TX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	14	0	0	0	0	0	0	0	0	4	10	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED SLOMAN	5053932153	05/03/1995 0:00	
19940933	1994	HADSON GAS CO (EX.ADOBE GAS CO)	56	921 WEST SANGER	HOBBS		NM	88240						TX	0	70	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	45	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	45	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED SLOMAN	5053932153	05/03/1995 0:00	
19940991	1994	HADSON GAS CO (EX.ADOBE GAS CO)	56	921 WEST SANGER	HOBBS	LEA	NM	88240						NM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	13	0	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	227	151	0	0	588	0	0	0	0	0	0	0	0	210	227	151	0	0	588	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED SLOMAN	5033932153	05/03/1995 0:00	04/11/1996 0:00
19940254	1994	COORS ENERGY CO	59	P.O. BOX 467	GOLDEN	JEFFERSON	CO	80402	P.O. BOX 467	GOLDEN	JEFFERSON	CO	80402	CO	0	33	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	22	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	22	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D.W. MACDONALD	3032773455	04/20/1995 0:00	
19941300	1994	TRISTAR GAS COMPANY	101	"8150 N. CENTRAL EXPRESSWAY, SUITE 1177"	DALLAS	DALLAS	TX	75206						TX	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	277	26	22	0	17	0	342	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	84	205	47	6	0	342	0	0	0	0	0	0	0	0	84	206	47	6	0	343	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MICHAEL W. WOOD	2147395001	06/01/1995 0:00	
19940488	1994	AIR PRODUCTS & CHEMICALS INC	117	91 DUNES HIGHWAY	BURNS HARBOR	PORTER	IN	46304	7201 HAMILTON BOULEVARD	ALLENTOWN		PA	18195	IN	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K J STERNER	6104818422	04/20/1995 0:00	
19940717	1994	AIR PRODUCTS & CHEMICALS INC	117	10202 STRANG ROAD	LAPORTE	HARRIS	TX	77571	7201 HAMILTON BOULEVARD	ALLENTOWN		PA	18195	TX	0	74	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K J STERNER	6104818422	05/03/1995 0:00	
19940719	1994	AIR PRODUCTS & CHEMICALS INC	117	ROUTE 1 10202 STRANG ROAD	LAPORTE	HARRIS	TX	77571	7201 HAMILTON BOULEVARD	ALLENTOWN		PA	18195	TX	0	82	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	66	1	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	66	1	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	K J STERNER	6104818422	05/03/1995 0:00	
19940281	1994	ATP OIL & GAS CORPORATION	118	4299 SAN FELICE SUITE 230	HOUSTON	HARRIS	TX	77027	4299 SAN FELICE SUITE 230	HOUSTON	HARRIS	TX	77027	LA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G.W. SCHLIEF	7156223311	04/20/1995 0:00	
19940223	1994	AJAX PIPELINE CO	144	900 PENNSYLVANIA AVENUE	CHARLESTON		WV	25302						WV	2	1	2	2	0	20	0	27	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	5	22	0	0	0	27	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	18	22	0	0	0	40	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ED H. MAIER - PRESIDENT	3043432201	04/20/1995 0:00	
19941013	1994	ALABAMA GAS CORP (EX. MARENGO CORP PROPERTY)	180	2101 SIXTH AVENUE NORTH	BIRMINGHAM	JEFFERSON	AL	35203						AL	0	282	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	126	141	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	126	141	0	0	282	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	J THOMAS JOHNSTONE	2053269290	05/03/1995 0:00	
19940305	1994	ALABAMA-TENNESSEE NATURAL GAS CO	189	100 EAST SECOND STREET ROAD	SHEFFIELD	COLBERT	AL	35660	P.O. BOX 198	FLORENCE		AL	35631	AL TN MS	0	295	0	0	0	0	2	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	199	82	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	199	82	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R.A.(TONY) BURNS	2053833631	04/20/1995 0:00	
19941007	1994	ALASKA PIPELINE CO	207	3000 SPENARD ROAD P.O. BOX 190288	ANCHORAGE	ANCHORAGE	AK	99519						AK	0	330	0	0	0	0	0	330	0	17	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	55	259	0	0	330	0	0	0	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	55	276	0	0	347	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	DREW SMITH	9072643744	05/03/1995 0:00	
